username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,news_id,user_id,rating,rating2,recommended,position,mystery,y_for,y_fact
dhdtik,0,2023-11-24 18:23:57,2023-12-08 07:40:36,1,0,66,vrouw,4,3,,,12.0,94.0,,96.0,,,,0.0,3,2,2,174,407208,174,1.0,0.5,0,4,1.0,0.8571428571428571,1.0
yittom,0,2023-11-24 19:05:34,2023-12-04 23:13:41,255,0,38,wil ik niet zeggen,5,2,3.0,2.0,16.0,98.0,,94.0,1.0,1.0,0.0,0.0,2,1,0,183,407208,183,2.0,1.0,0,0,0.0,0.8571428571428571,1.0
azubyo,0,2023-11-27 15:32:56,2023-12-04 13:44:00,255,0,38,vrouw,4,3,-1.0,2.0,14.0,95.0,,97.0,-2.0,1.0,-1.0,0.0,3,2,1,279,407208,279,3.0,3.0,0,1,0.0,0.8571428571428571,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407445,89,0.5,1.0,0,1,0.0,0.5454545454545454,0.9
lelrad,0,2023-11-27 16:45:46,2023-12-04 18:26:35,255,0,27,man,5,2,2.0,1.0,28.0,56.0,,57.0,-1.0,1.0,-1.0,,1,2,2,306,407445,306,0.5,0.5,0,2,0.0,0.5454545454545454,0.9
sskuvr,1,2023-11-27 17:44:18,2023-12-03 08:55:34,255,0,27,vrouw,3,0,-1.0,1.0,24.0,66.0,,69.0,-3.0,0.0,0.0,5.0,-1,1,-1,313,407445,313,3.0,4.5,0,4,0.0,0.5454545454545454,0.9
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407930,89,0.5,0.5,0,3,0.0,1.0,1.0
vndcce,1,2023-11-24 16:50:44,2023-12-01 05:24:07,255,0,38,vrouw,4,3,-2.0,1.0,16.0,75.0,,76.0,-1.0,0.0,-1.0,,2,2,2,121,407930,121,5.0,4.5,0,4,1.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407753,89,3.5,3.5,0,3,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407580,89,4.0,4.0,0,5,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407956,89,3.5,3.5,0,3,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407754,89,3.0,1.5,0,7,0.0,0.5714285714285714,1.0
rturbh,1,2023-11-28 15:16:40,2023-12-08 13:56:01,255,0,27,man,3,2,1.0,-2.0,28.0,85.0,,86.0,-2.0,0.0,-3.0,10.0,1,2,-2,345,407754,345,0.5,0.5,0,4,1.0,0.5714285714285714,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,408265,89,1.0,1.0,0,3,0.0,1.0,1.0
efocwy,1,2023-11-24 16:34:19,2023-12-01 14:26:08,255,0,25,man,4,3,3.0,2.0,16.0,54.0,,55.0,0.0,1.0,2.0,0.0,3,2,0,95,408265,95,4.0,4.0,0,4,1.0,1.0,1.0
azubyo,0,2023-11-27 15:32:56,2023-12-04 13:44:00,255,0,38,vrouw,4,3,-1.0,2.0,14.0,95.0,,97.0,-2.0,1.0,-1.0,0.0,3,2,1,279,408265,279,3.0,3.0,0,7,0.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,408696,89,0.5,0.5,0,1,0.0,1.0,1.0
btlzow,1,2023-11-24 19:58:56,2023-12-02 10:41:01,255,0,60,vrouw,4,3,3.0,2.0,20.0,58.0,,60.0,1.0,0.0,2.0,,2,2,0,196,408696,196,2.0,1.0,0,4,1.0,1.0,1.0
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,407869,89,0.5,0.5,0,1,0.0,0.5,0.6666666666666666
kciiso,0,2023-11-24 16:57:03,2023-12-04 12:57:50,255,0,32,vrouw,5,2,2.0,-1.0,16.0,65.0,,69.0,-1.0,1.0,-2.0,,1,-2,2,126,407869,126,1.0,0.5,0,2,0.0,0.5,0.6666666666666666
zhllwy,0,2023-11-24 17:53:51,2023-12-02 06:05:17,255,0,39,vrouw,3,2,3.0,2.0,14.0,136.0,,128.0,0.0,0.0,1.0,1.0,2,2,2,159,407869,159,3.0,3.0,0,1,0.0,0.5,0.6666666666666666
dxglnh,0,2023-11-27 18:28:52,2023-12-04 08:51:55,1,0,42,man,3,0,,,14.0,17.0,,17.0,,,,,-1,0,-1,319,407869,319,3.0,2.0,0,1,0.0,0.5,0.6666666666666666
xnumcy,0,2023-11-24 16:32:21,2023-12-04 09:17:14,255,0,61,vrouw,4,3,1.0,1.0,14.0,62.0,,62.0,0.0,1.0,-2.0,,3,3,0,89,408628,89,3.0,3.0,0,1,0.0,1.0,1.0
