id,username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,date
177,lxbrfa,1,2023-11-24 18:37:19,2023-12-19 08:27:41,1,0,59,niet-binair/anders,1,3,,,16.0,26.0,,26.0,,,,,3,3,-3,11
178,mklbyo,0,2023-11-24 18:38:37,2023-12-05 14:24:02,255,0,58,man,2,3,3.0,2.0,18.0,69.0,,70.0,0.0,1.0,3.0,,3,3,0,8
179,zfdarg,0,2023-11-24 18:49:45,2023-12-06 20:17:12,255,0,29,man,4,3,3.0,1.0,14.0,65.0,,55.0,-2.0,0.0,-1.0,0.0,3,3,3,7
183,yittom,0,2023-11-24 19:05:34,2023-12-04 23:13:41,255,0,38,wil ik niet zeggen,5,2,3.0,2.0,16.0,98.0,,94.0,1.0,1.0,0.0,0.0,2,1,0,8
184,serwjg,1,2023-11-24 19:08:31,2023-11-26 13:58:07,1,0,39,vrouw,4,3,,,4.0,27.0,,28.0,,,,,2,3,2,3
185,cvukpx,1,2023-11-24 19:08:34,2023-11-25 08:37:34,1,0,66,vrouw,2,1,,,4.0,3.0,,3.0,,,,,0,-1,-2,2
186,sutnhw,0,2023-11-24 19:16:09,2023-12-04 11:59:12,255,0,24,man,4,3,3.0,1.0,18.0,64.0,,62.0,-2.0,1.0,2.0,0.0,3,3,-1,6
188,qdsfxx,1,2023-11-24 19:18:11,2023-11-26 17:53:03,1,0,60,vrouw,5,3,,,6.0,17.0,,18.0,,,,1.0,2,2,1,3
190,iyrpyx,0,2023-11-24 19:18:14,2023-12-09 08:09:31,255,0,48,man,4,3,3.0,3.0,10.0,69.0,,72.0,1.0,1.0,1.0,0.0,2,2,0,13
191,sxhvfq,0,2023-11-24 19:25:07,2023-12-04 20:23:45,255,0,50,man,3,1,3.0,2.0,10.0,63.0,,67.0,-1.0,1.0,0.0,,2,2,1,7
193,dupoak,1,2023-11-24 19:35:10,2023-12-04 11:18:46,255,0,29,man,3,2,2.0,1.0,14.0,57.0,,57.0,0.0,0.0,2.0,2.0,0,1,1,7
194,yoahlk,0,2023-11-24 19:35:28,2023-11-30 17:37:00,1,0,69,vrouw,1,2,,,6.0,63.0,,42.0,,,,,2,2,1,3
196,btlzow,1,2023-11-24 19:58:56,2023-12-02 10:41:01,255,0,60,vrouw,4,3,3.0,2.0,20.0,58.0,,60.0,1.0,0.0,2.0,,2,2,0,8
197,plkqbh,1,2023-11-24 20:00:38,2023-11-30 02:46:02,255,0,34,niet-binair/anders,3,3,2.0,1.0,22.0,55.0,,60.0,-2.0,0.0,0.0,54.0,3,2,2,6
