username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,user_id,0.0,1.0,ratio,y_for,y_fact
tdncxg,1,2023-11-24 20:59:19,2023-12-06 16:32:39,255,0,54,vrouw,3,3,-1.0,-1.0,16.0,108.0,,89.0,-3.0,1.0,1.0,3.0,2,2,-3,205,205,102.0,7.0,0.0642201834862385,0.2472023791974876,0.1644170962094575
jhivej,1,2023-11-24 21:05:03,2023-12-26 21:38:34,255,0,56,vrouw,5,3,1.0,-2.0,20.0,50.0,,56.0,1.0,0.0,-3.0,,2,1,1,208,208,31.0,26.0,0.4561403508771929,0.3048961396341298,0.1821969056147102
gajsky,1,2023-11-24 21:23:55,2023-12-06 02:46:31,255,0,34,man,3,1,2.0,1.0,20.0,52.0,,25.0,-1.0,0.0,1.0,1.0,3,2,3,212,212,8.0,48.0,0.8571428571428571,0.2067985796078455,0.0650316021220746
ezjynv,1,2023-11-24 21:55:38,2023-12-08 19:31:26,255,0,55,man,2,3,-1.0,2.0,4.0,86.0,,60.0,-2.0,1.0,0.0,,3,3,3,216,216,79.0,2.0,0.0246913580246913,0.2785469768131208,0.1618393749865594
pqitut,1,2023-11-24 22:16:22,2023-12-22 22:01:36,255,0,43,vrouw,2,2,1.0,1.0,22.0,58.0,,62.0,3.0,1.0,0.0,21.0,2,2,0,220,220,52.0,9.0,0.1475409836065573,0.2450167239031737,0.1735691162542847
jnmxct,1,2023-11-24 22:19:11,2023-11-24 22:28:52,255,0,56,man,4,2,3.0,3.0,2.0,75.0,,76.0,2.0,0.0,0.0,0.0,2,1,0,221,221,74.0,2.0,0.0263157894736842,0.2057226505960938,0.1389255275417951
xrrjva,1,2023-11-24 23:31:09,2023-12-07 10:41:02,255,0,27,man,5,2,-2.0,-1.0,12.0,79.0,,78.0,0.0,1.0,-1.0,,0,0,0,225,225,76.0,2.0,0.0256410256410256,0.1912851379812748,0.1656887670474504
pxruvw,0,2023-11-24 23:31:57,2023-12-08 07:32:02,255,0,42,man,4,2,2.0,1.0,16.0,54.0,,54.0,-2.0,0.0,2.0,10.0,2,3,2,226,226,54.0,0.0,0.0,0.3030250878180826,0.139759083692989
eqrjxm,0,2023-11-25 05:30:49,2023-12-06 13:14:59,255,0,29,man,3,2,2.0,2.0,18.0,55.0,,58.0,-3.0,0.0,0.0,,2,2,1,251,251,58.0,0.0,0.0,0.2288040275567384,0.1398192190243622
njewvm,1,2023-11-25 07:28:47,2023-12-04 13:14:21,255,0,62,man,2,2,0.0,2.0,8.0,77.0,,72.0,1.0,0.0,-1.0,,2,2,0,256,256,64.0,14.0,0.1794871794871795,0.3199123823290206,0.1889119295246479
anphrp,0,2023-11-25 09:29:56,2023-12-05 08:17:51,1,0,67,vrouw,1,2,,,16.0,42.0,,46.0,,,,,1,2,1,270,270,34.0,12.0,0.2608695652173913,0.2942229852302167,0.1824982820586851
